time,open,high,low,close,tick_volume,spread,real_volume
2022-04-21,1956.794,1957.397,1936.388,1950.897,109229,200,0
2022-04-22,1950.864,1955.483,1926.197,1931.5,122157,200,0
2022-04-24,1932.305,1934.435,1929.527,1932.663,4920,200,0
2022-04-25,1932.661,1932.726,1891.134,1899.375,142591,200,0
2022-04-26,1899.407,1910.939,1895.449,1906.529,119510,200,0
2022-04-27,1906.543,1906.789,1881.037,1885.633,120877,200,0
2022-04-28,1885.625,1896.735,1871.981,1895.515,121984,200,0
2022-04-29,1895.526,1919.762,1894.415,1896.72,112102,200,0
2022-05-01,1899.389,1899.899,1896.106,1897.236,6224,200,0
2022-05-02,1897.206,1898.451,1854.428,1863.149,110170,200,0
2022-05-03,1863.117,1877.892,1850.192,1868.33,100166,200,0
2022-05-04,1868.298,1894.144,1861.438,1893.932,120251,200,0
2022-05-05,1893.971,1909.551,1872.327,1874.231,135609,200,0
2022-05-06,1874.199,1892.504,1865.961,1883.631,115722,200,0
2022-05-08,1883.561,1885.697,1879.889,1881.256,5207,200,0
2022-05-09,1881.244,1882.073,1851.677,1854.636,116492,200,0
2022-05-10,1854.605,1865.365,1833.109,1833.584,123340,200,0
2022-05-11,1833.614,1857.973,1832.015,1854.064,129678,200,0
2022-05-12,1854.063,1858.745,1810.519,1821.379,138180,200,0
2022-05-13,1821.414,1828.559,1798.81,1811.491,105469,200,0
2022-05-15,1813.943,1814.561,1809.718,1813.161,5868,200,0
2022-05-16,1813.19,1829.184,1786.381,1826.353,109847,200,0
2022-05-17,1826.388,1836.051,1812.886,1814.521,102806,200,0
2022-05-18,1814.49,1824.673,1807.231,1816.015,96081,200,0
2022-05-19,1816.029,1849.115,1810.833,1842.072,111091,200,0
2022-05-20,1842.064,1849.365,1832.312,1846.487,90594,200,0
2022-05-22,1848.976,1849.587,1843.478,1846.283,5062,200,0
2022-05-23,1846.284,1865.372,1845.756,1853.883,87084,200,0
2022-05-24,1853.919,1869.656,1849.303,1867.329,80538,200,0
2022-05-25,1867.361,1867.995,1841.3,1853.974,82337,200,0
2022-05-26,1853.944,1854.26,1840.804,1852.779,83103,200,0
2022-05-27,1852.748,1862.113,1847.933,1853.024,77104,200,0
2022-05-29,1852.618,1853.909,1848.158,1849.849,3394,200,0
2022-05-30,1849.872,1863.953,1848.661,1852.384,53661,200,0
2022-05-31,1852.416,1857.07,1835.015,1836.404,92801,200,0
2022-06-01,1836.437,1849.923,1828.429,1845.949,96109,200,0
2022-06-02,1845.953,1870.543,1844.065,1869.855,82910,200,0
2022-06-03,1869.886,1873.967,1847.249,1850.96,77381,200,0
2022-06-05,1850.955,1853.237,1850.103,1851.478,2805,200,0
2022-06-06,1851.48,1857.898,1837.957,1839.385,73853,200,0
2022-06-07,1839.404,1855.484,1836.939,1853.566,79483,200,0
2022-06-08,1853.569,1859.61,1844.488,1852.692,74406,200,0
2022-06-09,1852.695,1855.255,1840.008,1846.918,81409,200,0
2022-06-10,1846.945,1875.847,1825.079,1871.532,115431,200,0
2022-06-12,1878.07,1878.832,1874.666,1876.949,6102,200,0
2022-06-13,1876.93,1877.351,1809.14,1821.013,138282,200,0
2022-06-14,1820.98,1831.57,1805.064,1810.902,123222,200,0
2022-06-15,1810.872,1841.828,1808.642,1833.827,151093,200,0
2022-06-16,1833.811,1857.493,1815.391,1850.809,130437,200,0
2022-06-17,1850.821,1852.917,1833.817,1840.248,108939,200,0
2022-06-19,1836.197,1840.32,1834.725,1838.432,5130,200,0
2022-06-20,1838.436,1846.093,1835.153,1839.091,63788,200,0
2022-06-21,1839.053,1843.581,1828.531,1831.32,90405,200,0
2022-06-22,1831.288,1847.815,1823.291,1836.562,103019,200,0
2022-06-23,1836.593,1845.908,1822.481,1824.582,102430,200,0
2022-06-24,1824.585,1831.621,1816.879,1827.1,94118,200,0
2022-06-26,1836.268,1836.298,1829.99,1831.005,7001,200,0
2022-06-27,1830.973,1840.818,1820.729,1823.494,87966,200,0
2022-06-28,1823.506,1829.452,1818.256,1818.377,79619,200,0
2022-06-29,1818.347,1832.88,1811.848,1818.883,89385,200,0
2022-06-30,1818.896,1825.133,1802.627,1806.548,100818,200,0
2022-07-01,1806.552,1809.394,1784.473,1809.341,112094,200,0
2022-07-03,1810.342,1810.937,1808.034,1808.071,4033,200,0
2022-07-04,1808.062,1814.091,1803.765,1809.285,56438,200,0
2022-07-05,1809.287,1812.081,1763.729,1769.527,109579,200,0
2022-07-06,1769.524,1772.784,1732.221,1739.958,124545,200,0
2022-07-07,1739.989,1748.998,1736.482,1741.722,89377,200,0
2022-07-08,1741.754,1752.349,1732.813,1742.249,93328,200,0
2022-07-10,1741.119,1744.589,1740.873,1741.965,3889,200,0
2022-07-11,1741.998,1743.548,1731.223,1733.238,80153,200,0
2022-07-12,1733.236,1743.94,1723.2,1725.287,99108,200,0
2022-07-13,1725.317,1745.318,1706.931,1731.99,124092,200,0
2022-07-14,1731.972,1733.521,1697.565,1711.655,129539,200,0
2022-07-15,1711.692,1716.563,1698.877,1707.44,99113,200,0
2022-07-17,1706.571,1710.646,1706.536,1710.292,4179,200,0
2022-07-18,1710.261,1723.731,1706.616,1708.215,87733,200,0
2022-07-19,1708.198,1718.373,1705.3,1709.954,78371,200,0
2022-07-20,1709.924,1714.476,1692.191,1695.406,83286,200,0
2022-07-21,1695.357,1720.269,1680.811,1718.076,117453,200,0
2022-07-22,1718.046,1739.229,1712.809,1727.469,94924,200,0
2022-07-24,1726.25,1727.089,1724.282,1724.673,3980,200,0
2022-07-25,1724.676,1736.012,1714.721,1718.99,81379,200,0
2022-07-26,1719.03,1728.145,1713.555,1717.929,79867,200,0
2022-07-27,1717.896,1740.307,1711.358,1738.764,95605,200,0
2022-07-28,1738.733,1757.039,1733.993,1754.908,113785,200,0
2022-07-29,1754.898,1767.905,1752.116,1766.178,95368,200,0
2022-07-31,1765.356,1765.39,1760.893,1762.141,3687,200,0
2022-08-01,1762.172,1775.302,1758.22,1772.228,88751,200,0
2022-08-02,1772.261,1787.96,1754.784,1756.675,112395,200,0
2022-08-03,1756.669,1772.769,1754.321,1763.586,92443,200,0
2022-08-04,1763.617,1794.882,1763.358,1793.38,86652,200,0
2022-08-05,1793.347,1794.863,1764.955,1775.628,98370,200,0
2022-08-07,1773.369,1775.046,1772.643,1774.558,3677,200,0
2022-08-08,1774.562,1790.651,1771.119,1789.176,73025,200,0
2022-08-09,1789.146,1800.41,1783.177,1794.082,75714,200,0
2022-08-10,1794.086,1807.831,1787.574,1791.66,91465,200,0
2022-08-11,1791.675,1799.215,1783.521,1788.95,82890,200,0
2022-08-12,1788.923,1802.198,1784.81,1801.884,74529,200,0
2022-08-14,1801.505,1801.765,1798.969,1799.103,3025,200,0
2022-08-15,1799.072,1801.693,1772.814,1778.509,84774,200,0
2022-08-16,1778.547,1783.068,1771.198,1775.556,73288,200,0
2022-08-17,1775.564,1782.159,1759.7,1764.909,91786,200,0
2022-08-18,1764.911,1772.362,1755.304,1758.387,80126,200,0
2022-08-19,1758.39,1758.55,1745.49,1747.376,77218,200,0
2022-08-21,1745.586,1748.094,1744.969,1745.664,3670,200,0
2022-08-22,1745.668,1748.992,1727.749,1735.22,84051,200,0
2022-08-23,1735.227,1754.057,1730.736,1745.97,85337,200,0
2022-08-24,1745.972,1755.904,1742.431,1750.98,78536,200,0
2022-08-25,1750.974,1765.437,1749.921,1756.377,78232,200,0
2022-08-26,1756.379,1758.757,1734.13,1737.998,101753,200,0
2022-08-28,1734.774,1738.525,1733.125,1734.735,6173,200,0
2022-08-29,1734.741,1745.407,1720.28,1739.526,90779,200,0
2022-08-30,1739.51,1740.474,1721.131,1723.304,84201,200,0
2022-08-31,1723.302,1726.483,1705.48,1708.952,93057,200,0
2022-09-01,1708.919,1708.919,1688.723,1697.174,97152,200,0
2022-09-02,1697.165,1717.932,1696.266,1712.532,91242,200,0
2022-09-04,1711.024,1711.509,1707.899,1707.958,3100,200,0
2022-09-05,1707.929,1715.705,1707.72,1713.927,51593,200,0
2022-09-06,1713.921,1726.337,1699.751,1703.478,95449,200,0
2022-09-07,1703.475,1719.426,1691.358,1716.553,95634,200,0
2022-09-08,1716.548,1727.938,1703.814,1710.648,106167,200,0
2022-09-09,1710.618,1729.336,1709.683,1717.186,87211,200,0
2022-09-11,1718.402,1720.155,1716.742,1718.396,3416,200,0
2022-09-12,1718.365,1735.081,1711.946,1725.246,92489,200,0
